lead_id	source_database	candidate_accession	title	cancer_type	therapy	sample_type	platform	timepoint	response_label	independence_role	eligibility_status	evidence_url	evidence_note	next_action	current_registry_status	processed_status	processed_cohorts	strict_melanoma_primary_suitability
LIU_MGSP_PHS000452	dbGaP/TIGER/cBioPortal	phs000452; mel_dfci_2019	Liu/MGSP pretreatment melanoma anti-PD-1 tumor RNA-seq	melanoma	anti-PD-1	tumor tissue	bulk RNA-seq	pretreatment	CR/PR/MR/R versus SD/PD/NR/NDB; strict RECIST excludes MR/SD downstream	strict_external_source_crosscheck	eligible_processed_duplicate_sensitive	https://www.cbioportal.org/study/summary?id=mel_dfci_2019	Public cBioPortal expression and clinical attributes are processed locally; TIGER phs000452 is a related processed source. Do not count duplicate Liu-derived versions as independent validations.	Use only one Liu-derived source per locked external analysis; keep duplicate-source boundaries explicit.	registered=Liu_DFCI_melanoma,CBIO_LIU_DFCI_2019_PRE; missing=	processed	PHS000452_LIU_LIKE_PRE,CBIO_LIU_DFCI_2019_PRE	usable_with_predeclared_train_external_boundary
GIDE_PRJEB23709	ENA/TIGER/cBioPortal-iAtlas	PRJEB23709	Gide melanoma anti-PD-1 and anti-PD-1 plus anti-CTLA-4 pretreatment RNA-seq	melanoma	anti-PD-1; combination anti-PD-1 plus anti-CTLA-4	tumor tissue	bulk RNA-seq	pretreatment	RECIST-like response harmonized from supplementary clinical tables	primary_discovery_or_external_if_frozen	eligible_processed	https://www.ebi.ac.uk/ena/browser/view/PRJEB23709	Processed monotherapy and combination pretreatment cohorts exist locally. iAtlas/cBioPortal versions should be treated as duplicate source cross-checks.	Keep monotherapy as a primary melanoma component or freeze before any external use; do not mix duplicate iAtlas data as independent evidence.	registered=PRJEB23709,CBIO_IATLAS_GIDE_2019_PRE; missing=	processed	PRJEB23709_PD1_PRE,PRJEB23709_COMBO_PRE	usable_with_predeclared_train_external_boundary
RIAZ_GSE91061	GEO	GSE91061	Riaz nivolumab metastatic melanoma RNA-seq	melanoma	anti-PD-1 nivolumab	tumor tissue	bulk RNA-seq	pretreatment and on-treatment; current primary uses pretreatment only	RECIST-like response harmonized at patient level	primary_discovery_internal_lodo	eligible_processed	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE91061	Processed locally and used under patient-level LODO. cBioPortal/iAtlas Riaz is a duplicate source cross-check.	Maintain pretreatment-only filtering and patient-level fold boundaries.	registered=GSE91061,CBIO_IATLAS_RIAZ_2017_PRE; missing=	processed	GSE91061	usable_with_predeclared_train_external_boundary
HUGO_GSE78220	GEO	GSE78220	Hugo pretreatment melanoma anti-PD-1 RNA-seq	melanoma	anti-PD-1 pembrolizumab/nivolumab	tumor tissue	bulk RNA-seq	pretreatment	irRECIST/response harmonized from publication and GEO records	primary_discovery_internal_lodo	eligible_processed	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78220	Processed locally; small classic anti-PD-1 melanoma cohort.	Keep as part of high-evidence primary melanoma LODO or freeze before external scoring.	registered=GSE78220,CBIO_IATLAS_HUGO_2016_PRE; missing=	processed	GSE78220	usable_with_predeclared_train_external_boundary
MGH_GSE115821	GEO	GSE115821	MGH melanoma anti-PD-1 pre/on-treatment RNA-seq	melanoma	anti-PD-1	tumor tissue	bulk RNA-seq	pretreatment and on-treatment	RECIST response after manual filtering	secondary_external_or_sensitivity	eligible_processed_small	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE115821	Processed locally; small sample size and mixed timing limit its strength as a sole strict external set.	Use in endpoint/timing sensitivity analyses with baseline-only filtering.	registered=GSE115821; missing=	processed	GSE115821	usable_with_predeclared_train_external_boundary
MGH_GSE168204	GEO	GSE168204	New MGH melanoma anti-PD-1 pre/on-treatment RNA-seq	melanoma	anti-PD-1/PD-L1	tumor tissue	bulk RNA-seq	pretreatment and on-treatment	RECIST response after manual filtering	secondary_external_or_sensitivity	eligible_processed_small	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE168204	Processed locally; related literature describes 27 pre/on-treatment tumor specimens with exclusions for missing RECIST/RNA-seq/duplicates.	Use as a small melanoma sensitivity layer, not as the only top-tier external validation.	registered=GSE168204; missing=	processed	GSE168204	usable_with_predeclared_train_external_boundary
GSE145996	GEO	GSE145996	Melanoma tumor RNA-seq cohort with limited response-label evidence	melanoma	ICB context	tumor tissue	bulk RNA-seq	patient tumor specimen; pretreatment status requires curated evidence	curated binary response label used in current strict external stress test	strict_external_stress_test	eligible_processed_evidence_sensitive	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145996	Processed locally but GEO sample annotations emphasize tumor specimens and need stronger source/timepoint/RECIST mapping.	Keep as strict stress-test support; harden sample-level response and baseline evidence before headline use.	registered=GSE145996; missing=	processed	GSE145996	usable_with_predeclared_train_external_boundary
LEE_RIZOS_EGAS00001001552	EGA	EGAS00001001552; EGAD00001005738	Lee/Rizos melanoma immune checkpoint blockade RNA-seq	melanoma	immune checkpoint blockade	tumor tissue	bulk RNA-seq	pre/on-treatment in controlled dataset	publication-level RECIST response; raw data controlled	highest_value_controlled_external_candidate	controlled_access_required	https://ega-archive.org/studies/EGAS00001001552	EGA lists EGAD00001005738 as 79 RNA-seq samples from 56 melanoma patients who underwent immune checkpoint blockade immunotherapy.	Request EGA access and run registered preprocessing; do not substitute or fabricate expression matrices.	registered=EGAS00001001552; missing=	not_applicable		potentially_high_value_after_access
ABRIL_RODRIGUEZ_PHS001919	dbGaP	phs001919.v1.p1	Abril-Rodriguez melanoma anti-PD-1 RNA-seq immune-exclusion cohort	melanoma	anti-PD-1/checkpoint blockade	tumor biopsy	bulk RNA-seq	treated melanoma biopsy; baseline and response timing require controlled clinical files	response and immune-infiltration variables require dbGaP phenotype access	high_value_controlled_external_candidate	controlled_access_required	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001919.v1.p1	dbGaP describes melanoma patients treated with human anti-PD-1, RNA sequencing on biopsies, and immune-exclusion/non-response context; expression and phenotype files require authorized access.	Request dbGaP access, verify pretreatment tumor timing and RECIST response variables, then run the registered locked external scorer.	registered=phs001919; missing=	not_applicable		potentially_high_value_after_access
MGH_HACOHEN_PHS002683	dbGaP	phs002683.v1.p1	Combined tumor and immune signals in melanoma checkpoint blockade	melanoma	anti-CTLA4, anti-PD1, anti-PDL1, or combination checkpoint blockade	tumor biopsy	bulk RNA-seq plus WES	biopsy timepoint available after controlled phenotype access	response and survival outcomes require dbGaP phenotype access	high_value_controlled_external_candidate	controlled_access_required	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002683.v1.p1	dbGaP reports 67 checkpoint-blockade melanoma patients and aggregated bulk RNA-seq data for 178 patients, with transcriptomic factors associated with response and survival.	Request dbGaP access, isolate pretreatment anti-PD-1 or PD-1-like tumor RNA-seq samples, and keep this cohort locked outside model development.	registered=phs002683; missing=	not_applicable		potentially_high_value_after_access
