cohort	n_metadata_rows	registry_cancer_type	registry_therapy	registry_platform	registry_timepoints	registry_role	label_counts	response_raw_counts	timepoint_counts	therapy_counts	tumor_type_counts	eligibility_status	eligibility_reason
GSE122220	10	melanoma	anti-PD1_or_anti-CTLA4_plus_PD1	Illumina_HumanHT12_V4_expression_beadchip	pretreatment	low_n_array_external_sensitivity	0.0:6;1.0:4	PD:5;PR:2;CR:2;SD:1	pretreatment:10	anti-PD-1 monotherapy:8;anti-CTLA-4 plus anti-PD-1 combination:2	melanoma:10	low_n_array_platform_sensitivity	platform=Illumina_HumanHT12_V4_expression_beadchip; n=10
GSE165745	24	melanoma	ICB	expression	pretreatment	candidate_external_requires_metadata_curation	1:12;0:12	Responder:12;Nonresponder:12	pretreatment:24	anti-PD-1 monotherapy:24	melanoma:24	needs_manual_source_hardening	role=candidate_external_requires_metadata_curation; notes=Registry entry required by implementation contract; no benchmark use until patient labels pass QC.
PRJEB23709_COMBO_PRE	32	melanoma	anti-PD1_or_combo	RNA-seq	pretreatment	locked_external_if_accessible	0:21;1:11	PR:11;CR:10;PD:6;SD:5	pretreatment:32	anti-CTLA-4+anti-PD-1:32	Melanoma:32	needs_manual_source_hardening	role=locked_external_if_accessible; notes=Processed expression obtained from TIGER immunotherapy download interface; PRE samples are split into anti-PD1 monothera
GSE136961	21	NSCLC	anti-PD1	expression	pretreatment	pan_cancer_external	1.0:12;0.0:9	NDB:12;DCB:9	pretreatment:21		adenocarcinoma:9;squamous cell carcinoma:8;Large cell neuroendocarine carcinoma:3;adenocarcinoma-squamous cell carcinoma:1	not_melanoma_primary	registry cancer_type=NSCLC
GSE140901	24	hepatocellular_carcinoma	anti-PD1_or_anti-PDL1_based	NanoString_nCounter	pretreatment	pan_cancer_external	1.0:18;0.0:6	SD:10;PD:8;PR:6	pretreatment:24			not_melanoma_primary	registry cancer_type=hepatocellular_carcinoma
GSE165252	32	esophageal_cancer	atezolizumab_plus_chemoradiotherapy	RNA-seq	baseline,on_treatment,resection	pan_cancer_dynamic	1.0:20;0.0:12	NR:20;R:12	pretreatment:32	neoadjuvant chemoradiotherapy + atezolizumab:32		not_melanoma_primary	registry cancer_type=esophageal_cancer
GSE176307	88	urothelial_cancer	ICB	RNA-seq	pretreatment	pan_cancer_external	1.0:72;0.0:16	PD:68;PR:9;CR:7;SD:4	pretreatment:88			not_melanoma_primary	registry cancer_type=urothelial_cancer
GSE67501	11	renal_cell_carcinoma	nivolumab	expression	pretreatment	pan_cancer_external_small	1.0:7;0.0:4	NR:7;R:4	pretreatment:11			not_melanoma_primary	registry cancer_type=renal_cell_carcinoma
GSE121810	0	glioblastoma	pembrolizumab	RNA-seq	baseline,on_treatment	pan_cancer_external_context_specific						not_usable_empty_metadata	metadata has zero rows
GSE183924	0	esophageal_or_GEj_adenocarcinoma	durvalumab	RNA-seq	baseline	survival_external						not_usable_empty_metadata	metadata has zero rows
GSE244982	0	melanoma	ICB_progression	RNA-seq	progression	mechanism_only						not_usable_empty_metadata	metadata has zero rows
GSE93157	65	melanoma_NSCLC_HNSC	pembrolizumab_or_nivolumab	NanoString_nCounter_immune_panel	pretreatment	mixed_tumor_external	1.0:45;0.0:20	PD:29;PR:17;SD:16;CR:3	pretreatment:65			panel_transfer_not_bulk_strict	platform=NanoString_nCounter_immune_panel
GSE78220	27	melanoma	anti-PD1	RNA-seq	pretreatment	classic_external_benchmark	0.0:14;1.0:13	PD:13;PR:10;CR:4	pretreatment:27	Pembrolizumab:27		primary_discovery_or_lodo	used in high-evidence primary melanoma discovery/LODO boundary
GSE91061	49	melanoma	anti-PD1	RNA-seq	pretreatment,on_treatment,progression	discovery_or_lodo	1.0:39;0.0:10	PD:23;SD:16;PR:10	pretreatment:49			primary_discovery_or_lodo	used in high-evidence primary melanoma discovery/LODO boundary
PRJEB23709_PD1_PRE	41	melanoma	anti-PD1_or_combo	RNA-seq	pretreatment	locked_external_if_accessible	1:22;0:19	PD:16;PR:15;SD:6;CR:4	pretreatment:41	anti-PD-1:41	Melanoma:41	primary_discovery_or_lodo	used in high-evidence primary melanoma discovery/LODO boundary
GSE115821	8	melanoma	ICB	expression	pretreatment	IMPRES_comparator	1.0:6;0.0:2	NR:6;R:2	pretreatment:8		metastatic melanoma:8	secondary_small_melanoma_sensitivity	eligible melanoma pretreatment ICB-like cohort, but small and response/timing evidence is less robust than primary discovery cohorts
GSE168204	21	melanoma	anti-PD1_based	RNA-seq	pretreatment,on_treatment	pathway_signature_comparator	1.0:12;0.0:9	NR:12;R:9	pretreatment:21		metastatic melanoma:21	secondary_small_melanoma_sensitivity	eligible melanoma pretreatment ICB-like cohort, but small and response/timing evidence is less robust than primary discovery cohorts
GSE145996	14	melanoma	anti-PD1	RNA-seq	pretreatment	external_small	0:8;1:6	PR:6;PD:5;CR:2;SD:1	pretreatment:14	PEM:8;Pem:4;Nivo:2		strict_external_current	used in current strict melanoma external stress test
PHS000452_LIU_LIKE_PRE	121	melanoma	anti-PD1	RNA-seq	pretreatment	external_validation	1:71;0:50	PD:55;PR:32;CR:16;SD:16;MR:2	pretreatment_inferred_from_tiger_patient_like_antipd1_dataset:121	anti-PD-1:121	Melanoma:121	strict_external_current	used in current strict melanoma external stress test
