target_gene	depmap_score	mean_gene_effect_all	mean_gene_effect_melanoma	n_models	n_melanoma_models	status	reason	interpretation
HLA-A	0.16667973716272122	-0.17960469019627892	-0.16667973716272122	1150	75	DepMap_public_dependency_support		higher depmap_score means stronger average melanoma dependency because DepMap gene-effect values are more negative for dependency
CD3D	0.15659973753140888	-0.15397986219535462	-0.15659973753140888	1150	75	DepMap_public_dependency_support		higher depmap_score means stronger average melanoma dependency because DepMap gene-effect values are more negative for dependency
GNLY	0.11634191860599102	-0.14534121564069483	-0.11634191860599102	1150	75	DepMap_public_dependency_support		higher depmap_score means stronger average melanoma dependency because DepMap gene-effect values are more negative for dependency
ITGB7	0.06735110494882836	-0.11293161579561468	-0.06735110494882836	1150	75	DepMap_public_dependency_support		higher depmap_score means stronger average melanoma dependency because DepMap gene-effect values are more negative for dependency
GZMB	0.053997818806061644	-0.09221009645841684	-0.053997818806061644	1150	75	DepMap_public_dependency_support		higher depmap_score means stronger average melanoma dependency because DepMap gene-effect values are more negative for dependency
TIGIT	0.05290541479254345	-0.07552430205946555	-0.05290541479254345	1150	75	DepMap_public_dependency_support		higher depmap_score means stronger average melanoma dependency because DepMap gene-effect values are more negative for dependency
LILRB2	0.0458003905409907	-0.07161957928234948	-0.0458003905409907	1150	75	DepMap_public_dependency_support		higher depmap_score means stronger average melanoma dependency because DepMap gene-effect values are more negative for dependency
PDCD1	0.035378624725872776	-0.020441451368244032	-0.035378624725872776	1150	75	DepMap_public_dependency_support		higher depmap_score means stronger average melanoma dependency because DepMap gene-effect values are more negative for dependency
AXL	0.022123691661544407	-0.011717328183956446	-0.022123691661544407	1150	75	DepMap_public_dependency_support		higher depmap_score means stronger average melanoma dependency because DepMap gene-effect values are more negative for dependency
S100A8	0.012106406239527185	-0.02921500982399262	-0.012106406239527185	1150	75	DepMap_public_dependency_support		higher depmap_score means stronger average melanoma dependency because DepMap gene-effect values are more negative for dependency
LAG3	0.00869637832622728	-0.0280114472067426	-0.00869637832622728	1150	75	DepMap_public_dependency_support		higher depmap_score means stronger average melanoma dependency because DepMap gene-effect values are more negative for dependency
PRF1	-0.0010747314630568385	0.002905138992540543	0.0010747314630568385	1150	75	DepMap_public_dependency_support		higher depmap_score means stronger average melanoma dependency because DepMap gene-effect values are more negative for dependency
TAP1	-0.002573947446116895	-0.03020182017108441	0.002573947446116895	1150	75	DepMap_public_dependency_support		higher depmap_score means stronger average melanoma dependency because DepMap gene-effect values are more negative for dependency
HLA-B	-0.004167698829684872	0.003217489786940788	0.004167698829684872	1150	75	DepMap_public_dependency_support		higher depmap_score means stronger average melanoma dependency because DepMap gene-effect values are more negative for dependency
IL10	-0.01781046338050297	0.027144194011382107	0.01781046338050297	1150	75	DepMap_public_dependency_support		higher depmap_score means stronger average melanoma dependency because DepMap gene-effect values are more negative for dependency
TGFB1	-0.019127801979393184	0.015317003293590668	0.019127801979393184	1150	75	DepMap_public_dependency_support		higher depmap_score means stronger average melanoma dependency because DepMap gene-effect values are more negative for dependency
ZEB1	-0.021393600497168885	-0.08040518030815304	0.021393600497168885	1150	75	DepMap_public_dependency_support		higher depmap_score means stronger average melanoma dependency because DepMap gene-effect values are more negative for dependency
HAVCR2	-0.021790231423126007	0.022341486131874706	0.021790231423126007	1150	75	DepMap_public_dependency_support		higher depmap_score means stronger average melanoma dependency because DepMap gene-effect values are more negative for dependency
PSMB9	-0.032629335589823914	0.04063693437348988	0.032629335589823914	1150	75	DepMap_public_dependency_support		higher depmap_score means stronger average melanoma dependency because DepMap gene-effect values are more negative for dependency
CD3E	-0.04411479441250754	0.05586487324294132	0.04411479441250754	1150	75	DepMap_public_dependency_support		higher depmap_score means stronger average melanoma dependency because DepMap gene-effect values are more negative for dependency
S100A9	-0.07591286535474992	0.0458978683772722	0.07591286535474992	1150	75	DepMap_public_dependency_support		higher depmap_score means stronger average melanoma dependency because DepMap gene-effect values are more negative for dependency
CD163	-0.08049070412548788	0.08190569469336649	0.08049070412548788	1150	75	DepMap_public_dependency_support		higher depmap_score means stronger average melanoma dependency because DepMap gene-effect values are more negative for dependency
IFNG	-0.09280070324013276	0.08214106008020826	0.09280070324013276	1150	75	DepMap_public_dependency_support		higher depmap_score means stronger average melanoma dependency because DepMap gene-effect values are more negative for dependency
NKG7	-0.20893775939577344	0.2054085470422819	0.20893775939577344	1150	75	DepMap_public_dependency_support		higher depmap_score means stronger average melanoma dependency because DepMap gene-effect values are more negative for dependency
