state	gene	direction	selection_frequency	cell_state_prior	coefficient
antigen_presentation_mhc	B2M	-1	0.602045428672956	0.0	1.4572476446427052
antigen_presentation_mhc	GZMB	-1	0.7672827469487193	0.0	1.4572476446427052
antigen_presentation_mhc	HLA-B	-1	0.5	0.0	1.4572476446427052
antigen_presentation_mhc	PDCD1	1	0.5800980377022238	0.0	1.4572476446427052
antigen_presentation_mhc	PRF1	-1	1.0	0.0	1.4572476446427052
caf_ecm_exclusion	B2M	-1	0.602045428672956	0.0	1.457247644642704
caf_ecm_exclusion	GZMB	-1	0.7672827469487193	0.0	1.457247644642704
caf_ecm_exclusion	HLA-B	-1	0.5	0.0	1.457247644642704
caf_ecm_exclusion	PDCD1	1	0.5800980377022238	0.0	1.457247644642704
caf_ecm_exclusion	PRF1	-1	1.0	0.0	1.457247644642704
myeloid_suppression	B2M	-1	0.602045428672956	0.0	1.457247644642704
myeloid_suppression	GZMB	-1	0.7672827469487193	0.0	1.457247644642704
myeloid_suppression	HLA-B	-1	0.5	0.0	1.457247644642704
myeloid_suppression	PDCD1	1	0.5800980377022238	0.0	1.457247644642704
myeloid_suppression	PRF1	-1	1.0	0.0	1.457247644642704
tcell_dysfunction	B2M	-1	0.602045428672956	0.0	1.4572476446427052
tcell_dysfunction	GZMB	-1	0.7672827469487193	0.0	1.4572476446427052
tcell_dysfunction	HLA-B	-1	0.5	0.0	1.4572476446427052
tcell_dysfunction	PDCD1	1	0.5800980377022238	0.0	1.4572476446427052
tcell_dysfunction	PRF1	-1	1.0	0.0	1.4572476446427052
tnk_effector	B2M	-1	0.602045428672956	0.0	1.4572476446427052
tnk_effector	GZMB	-1	0.7672827469487193	0.0	1.4572476446427052
tnk_effector	HLA-B	-1	0.5	0.0	1.4572476446427052
tnk_effector	PDCD1	1	0.5800980377022238	0.0	1.4572476446427052
tnk_effector	PRF1	-1	1.0	0.0	1.4572476446427052
tumor_dedifferentiation	B2M	-1	0.602045428672956	0.0	1.4572476446427052
tumor_dedifferentiation	GZMB	-1	0.7672827469487193	0.0	1.4572476446427052
tumor_dedifferentiation	HLA-B	-1	0.5	0.0	1.4572476446427052
tumor_dedifferentiation	PDCD1	1	0.5800980377022238	0.0	1.4572476446427052
tumor_dedifferentiation	PRF1	-1	1.0	0.0	1.4572476446427052
