accession	name	layer	cancer_type	therapy	role	access_status	priority
GSE91061	Riaz_antiPD1_melanoma	A	melanoma	anti-PD1	discovery_or_lodo	public	high
GSE78220	Hugo_antiPD1_melanoma	A	melanoma	anti-PD1	classic_external_benchmark	public	high
GSE145996	JerbyArnon_or_related_melanoma_antiPD1	A	melanoma	anti-PD1	external_small	public	medium
GSE168204	Du_pathway_signature_melanoma_antiPD1	A	melanoma	anti-PD1_based	pathway_signature_comparator	public	high
GSE115821	Auslander_IMPRES_melanoma	A	melanoma	ICB	IMPRES_comparator	public	high
GSE93157	Prat_mixed_antiPD1_panel	A_B	melanoma_NSCLC_HNSC	pembrolizumab_or_nivolumab	mixed_tumor_external	public	medium
PRJEB23709	Gide_melanoma_ICB	A	melanoma	anti-PD1_or_combo	locked_external_if_accessible	unknown	high
Liu_DFCI_melanoma	Liu_NatMed_2019_melanoma	A	melanoma	anti-PD1	locked_external_if_accessible	controlled	high
GSE244982	acquired_resistance_melanoma_progression	A_C	melanoma	ICB_progression	mechanism_only	public	medium
GSE136961	NSCLC_antiPD1_DCB_NDB	B	NSCLC	anti-PD1	pan_cancer_external	public	high
GSE176307	urothelial_ICB_real_world	B	urothelial_cancer	ICB	pan_cancer_external	public	high
IMvigor210	IMvigor210_urothelial_atezolizumab	B	urothelial_cancer	anti-PDL1_atezolizumab	pan_cancer_external_large	unknown	high
GSE67501	RCC_nivolumab_small	B	renal_cell_carcinoma	nivolumab	pan_cancer_external_small	public	medium
GSE121810	glioblastoma_pembrolizumab	B	glioblastoma	pembrolizumab	pan_cancer_external_context_specific	public	medium
GSE140901	HCC_ICI_nCounter	B	hepatocellular_carcinoma	anti-PD1_or_anti-PDL1_based	pan_cancer_external	public	medium
GSE165252	PERFECT_esophageal_atezolizumab	B	esophageal_cancer	atezolizumab_plus_chemoradiotherapy	pan_cancer_dynamic	public	medium
GSE183924	esophageal_GEj_durvalumab	B	esophageal_or_GEj_adenocarcinoma	durvalumab	survival_external	public	medium
GSE115978	melanoma_ecosystem_scRNA	C	melanoma	mixed_or_ICB_context	single_cell_mechanism	public	high
GSE123139	melanoma_Tcell_states_scRNA	C	melanoma	ICB_context	single_cell_Tcell_validation	public	high
