state	gene	direction	selection_frequency	cell_state_prior	coefficient
antigen_presentation_mhc	CD3D	-1	0.5029972558069955		0.11273049142670874
antigen_presentation_mhc	CD3E	-1	1.0		0.11273049142670874
antigen_presentation_mhc	ITGB7	-1	0.5160666848181226		0.11273049142670874
antigen_presentation_mhc	PSMB9	-1	0.8024345690072505		0.11273049142670874
antigen_presentation_mhc	PTEN	1	0.5		0.11273049142670874
caf_ecm_exclusion	CD3D	-1	0.5029972558069955		0.11273049142670888
caf_ecm_exclusion	CD3E	-1	1.0		0.11273049142670888
caf_ecm_exclusion	ITGB7	-1	0.5160666848181226		0.11273049142670888
caf_ecm_exclusion	PSMB9	-1	0.8024345690072505		0.11273049142670888
caf_ecm_exclusion	PTEN	1	0.5		0.11273049142670888
myeloid_suppression	CD3D	-1	0.5029972558069955		0.11273049142670888
myeloid_suppression	CD3E	-1	1.0		0.11273049142670888
myeloid_suppression	ITGB7	-1	0.5160666848181226		0.11273049142670888
myeloid_suppression	PSMB9	-1	0.8024345690072505		0.11273049142670888
myeloid_suppression	PTEN	1	0.5		0.11273049142670888
tcell_dysfunction	CD3D	-1	0.5029972558069955		0.11273049142670874
tcell_dysfunction	CD3E	-1	1.0		0.11273049142670874
tcell_dysfunction	ITGB7	-1	0.5160666848181226		0.11273049142670874
tcell_dysfunction	PSMB9	-1	0.8024345690072505		0.11273049142670874
tcell_dysfunction	PTEN	1	0.5		0.11273049142670874
tnk_effector	CD3D	-1	0.5029972558069955		0.11273049142670874
tnk_effector	CD3E	-1	1.0		0.11273049142670874
tnk_effector	ITGB7	-1	0.5160666848181226		0.11273049142670874
tnk_effector	PSMB9	-1	0.8024345690072505		0.11273049142670874
tnk_effector	PTEN	1	0.5		0.11273049142670874
tumor_dedifferentiation	CD3D	-1	0.5029972558069955		0.11273049142670874
tumor_dedifferentiation	CD3E	-1	1.0		0.11273049142670874
tumor_dedifferentiation	ITGB7	-1	0.5160666848181226		0.11273049142670874
tumor_dedifferentiation	PSMB9	-1	0.8024345690072505		0.11273049142670874
tumor_dedifferentiation	PTEN	1	0.5		0.11273049142670874
