generation	best_score	mean_score	best_auc	best_auprc	size
1	0.6157994289075772	0.5657994289075772	0.49153963802401296	0.7090783248977662	30
2	0.6170494289075772	0.5670494289075771	0.49153963802401296	0.7090783248977662	30
3	0.6182994289075772	0.5682994289075772	0.49153963802401296	0.7090783248977662	30
4	0.6195494289075771	0.5695494289075772	0.49153963802401296	0.7090783248977662	30
5	0.6207994289075772	0.5707994289075772	0.49153963802401296	0.7090783248977662	30
6	0.6220494289075772	0.5720494289075772	0.49153963802401296	0.7090783248977662	30
7	0.6232994289075772	0.5732994289075772	0.49153963802401296	0.7090783248977662	30
8	0.6245494289075771	0.5745494289075772	0.49153963802401296	0.7090783248977662	30
9	0.6257994289075772	0.5757994289075772	0.49153963802401296	0.7090783248977662	30
10	0.6270494289075772	0.5770494289075772	0.49153963802401296	0.7090783248977662	30
11	0.6282994289075772	0.5782994289075772	0.49153963802401296	0.7090783248977662	30
12	0.6295494289075771	0.5795494289075772	0.49153963802401296	0.7090783248977662	30
13	0.6307994289075771	0.5807994289075772	0.49153963802401296	0.7090783248977662	30
14	0.6320494289075772	0.5820494289075772	0.49153963802401296	0.7090783248977662	30
15	0.6332994289075772	0.5832994289075772	0.49153963802401296	0.7090783248977662	30
16	0.6345494289075772	0.5845494289075772	0.49153963802401296	0.7090783248977662	30
17	0.6357994289075772	0.5857994289075772	0.49153963802401296	0.7090783248977662	30
18	0.6370494289075772	0.5870494289075772	0.49153963802401296	0.7090783248977662	30
19	0.6382994289075772	0.5882994289075772	0.49153963802401296	0.7090783248977662	30
20	0.6395494289075772	0.5895494289075772	0.49153963802401296	0.7090783248977662	30
21	0.6407994289075771	0.5907994289075772	0.49153963802401296	0.7090783248977662	30
22	0.6420494289075772	0.5920494289075772	0.49153963802401296	0.7090783248977662	30
23	0.6432994289075772	0.5932994289075773	0.49153963802401296	0.7090783248977662	30
24	0.6445494289075772	0.5945494289075772	0.49153963802401296	0.7090783248977662	30
25	0.6457994289075771	0.5957994289075772	0.49153963802401296	0.7090783248977662	30
26	0.6470494289075772	0.5970494289075772	0.49153963802401296	0.7090783248977662	30
27	0.6482994289075772	0.5982994289075771	0.49153963802401296	0.7090783248977662	30
28	0.6495494289075772	0.5995494289075772	0.49153963802401296	0.7090783248977662	30
29	0.6507994289075771	0.6007994289075772	0.49153963802401296	0.7090783248977662	30
30	0.6520494289075772	0.6020494289075772	0.49153963802401296	0.7090783248977662	30
31	0.6532994289075772	0.6032994289075773	0.49153963802401296	0.7090783248977662	30
32	0.6545494289075772	0.6045494289075772	0.49153963802401296	0.7090783248977662	30
33	0.6557994289075771	0.6057994289075772	0.49153963802401296	0.7090783248977662	30
34	0.6570494289075772	0.6070494289075772	0.49153963802401296	0.7090783248977662	30
35	0.6582994289075772	0.6082994289075772	0.49153963802401296	0.7090783248977662	30
36	0.6595494289075772	0.6095494289075772	0.49153963802401296	0.7090783248977662	30
37	0.6607994289075771	0.6107994289075772	0.49153963802401296	0.7090783248977662	30
38	0.6620494289075771	0.6120494289075772	0.49153963802401296	0.7090783248977662	30
39	0.6632994289075772	0.6132994289075772	0.49153963802401296	0.7090783248977662	30
40	0.6645494289075772	0.6145494289075772	0.49153963802401296	0.7090783248977662	30
