cohort	cell_type	n_labeled	n_label_1	n_label_0	auroc_label1_as_high_score	auprc_label1_as_high_score	status	interpretation
GSE115821	b_cell_plasma	8	6	2	0.41666666666666663	0.8134920634920635	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE115821	cd8_t_effector	8	6	2	0.5	0.8357142857142856	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE115821	checkpoint_t_cell	8	6	2	0.3333333333333333	0.7579365079365079	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE115821	dendritic_apc	8	6	2	0.41666666666666663	0.7801587301587302	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE115821	endothelial	8	6	2	0.5	0.8551587301587301	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE115821	fibroblast_caf	8	6	2	0.5	0.8551587301587301	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE115821	ifng_axis	8	6	2	0.3333333333333333	0.7579365079365079	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE115821	macrophage_myeloid	8	6	2	0.41666666666666663	0.8134920634920635	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE115821	melanoma_tumor	8	6	2	0.75	0.915079365079365	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE115821	proliferation	8	6	2	0.75	0.9305555555555556	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE115821	treg	8	6	2	0.25	0.732936507936508	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE136961	b_cell_plasma	21	12	9	0.3148148148148149	0.47381540780341086	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE136961	cd8_t_effector	21	12	9	0.24074074074074076	0.47229340899039046	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE136961	checkpoint_t_cell	21	12	9	0.21296296296296297	0.44360623967822105	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE136961	dendritic_apc	21	12	9	0.20370370370370372	0.4449585502217081	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE136961	ifng_axis	21	12	9	0.21296296296296297	0.4439203931173745	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE136961	macrophage_myeloid	21	12	9	0.16666666666666669	0.4447983346203161	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE136961	melanoma_tumor	21	12	9	0.5185185185185185	0.5834771222929118	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE136961	proliferation	21	12	9	0.4444444444444444	0.5884101948246685	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE136961	treg	21	12	9	0.34259259259259256	0.5181943830163644	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE168204	b_cell_plasma	21	12	9	0.6481481481481481	0.7846583842713875	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE168204	cd8_t_effector	21	12	9	0.4814814814814815	0.6279611592111592	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE168204	checkpoint_t_cell	21	12	9	0.5648148148148149	0.7206559644059646	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE168204	dendritic_apc	21	12	9	0.5185185185185185	0.6846164123544155	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE168204	endothelial	21	12	9	0.38888888888888895	0.5450616105027869	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE168204	fibroblast_caf	21	12	9	0.2685185185185185	0.46532772353205787	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE168204	ifng_axis	21	12	9	0.537037037037037	0.7267142536685881	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE168204	macrophage_myeloid	21	12	9	0.46296296296296297	0.6635991688623268	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE168204	melanoma_tumor	21	12	9	0.7407407407407408	0.8342897356055251	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE168204	proliferation	21	12	9	0.8148148148148149	0.894993894993895	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE168204	treg	21	12	9	0.5925925925925926	0.7315847279082575	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE176307	b_cell_plasma	88	72	16	0.48958333333333337	0.8154887657605825	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE176307	cd8_t_effector	88	72	16	0.4123263888888889	0.7900653755240038	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE176307	checkpoint_t_cell	88	72	16	0.3368055555555555	0.7838276553649788	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE176307	dendritic_apc	88	72	16	0.46354166666666674	0.8173450537308278	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE176307	endothelial	88	72	16	0.4835069444444445	0.8587066054456519	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE176307	fibroblast_caf	88	72	16	0.603298611111111	0.8789535108871263	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE176307	ifng_axis	88	72	16	0.3567708333333333	0.7639935568597803	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE176307	macrophage_myeloid	88	72	16	0.4114583333333333	0.7900361394121156	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE176307	melanoma_tumor	88	72	16	0.5234375	0.8260054223973397	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE176307	proliferation	88	72	16	0.3272569444444445	0.7535589308681833	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE176307	treg	88	72	16	0.4353298611111111	0.7750716389738886	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE78220	b_cell_plasma	27	13	14	0.4780219780219781	0.5127884206548899	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE78220	cd8_t_effector	27	13	14	0.510989010989011	0.5755182699910741	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE78220	checkpoint_t_cell	27	13	14	0.5164835164835165	0.5685811247575954	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE78220	dendritic_apc	27	13	14	0.45054945054945056	0.5095321104016756	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE78220	endothelial	27	13	14	0.7472527472527473	0.8071145492814211	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE78220	fibroblast_caf	27	13	14	0.7582417582417582	0.7972646892151534	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE78220	ifng_axis	27	13	14	0.5	0.543932733932734	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE78220	macrophage_myeloid	27	13	14	0.5659340659340659	0.6460509665772824	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE78220	melanoma_tumor	27	13	14	0.4010989010989011	0.43457962265654576	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE78220	proliferation	27	13	14	0.6813186813186813	0.6479339037031345	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE78220	treg	27	13	14	0.6208791208791209	0.5557269534466486	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE91061	b_cell_plasma	62	48	14	0.3913690476190476	0.7042746097513524	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE91061	cd8_t_effector	62	48	14	0.3660714285714286	0.7098829853812327	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE91061	checkpoint_t_cell	62	48	14	0.34672619047619047	0.7122905268618072	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE91061	dendritic_apc	62	48	14	0.4032738095238095	0.7166667720277198	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE91061	endothelial	62	48	14	0.44642857142857145	0.7561912668376795	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE91061	fibroblast_caf	62	48	14	0.47916666666666663	0.7938937168625064	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE91061	ifng_axis	62	48	14	0.40773809523809523	0.7419067211677454	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE91061	macrophage_myeloid	62	48	14	0.4672619047619048	0.7626289651926694	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE91061	melanoma_tumor	62	48	14	0.5297619047619048	0.7931819895034008	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE91061	proliferation	62	48	14	0.4836309523809524	0.7298535643516966	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
GSE91061	treg	62	48	14	0.35416666666666663	0.7016512660673236	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
all_public_processed	b_cell_plasma	227	163	64	0.4517829754601227	0.690878627739206	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
all_public_processed	cd8_t_effector	227	163	64	0.4004984662576687	0.6692818267307339	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
all_public_processed	checkpoint_t_cell	227	163	64	0.4055789877300613	0.6791906025959742	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
all_public_processed	dendritic_apc	227	163	64	0.4164110429447852	0.6764595636257497	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
all_public_processed	endothelial	206	151	55	0.5121011438892233	0.7667809044068847	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
all_public_processed	fibroblast_caf	206	151	55	0.5431667670078266	0.7832775626422284	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
all_public_processed	ifng_axis	227	163	64	0.3999233128834355	0.6846733110456453	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
all_public_processed	macrophage_myeloid	227	163	64	0.43059815950920244	0.7026350759124325	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
all_public_processed	melanoma_tumor	227	163	64	0.5370015337423313	0.7282477912032433	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
all_public_processed	proliferation	227	163	64	0.4979869631901841	0.7095259163566565	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
all_public_processed	treg	227	163	64	0.4344804447852761	0.6646937996975738	PASS	descriptive marker-abundance baseline; higher score is tested against label=1 without direction tuning
